# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CusR	cusCFBA[cusCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CusR	cusRS[cusRp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CusR	cyoABCDE[cyoAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
CusR	hiuH[hiuHp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CynR	cynR[cynRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
CynR	cynTS[cynTp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
CynR	cynTSX[cynTp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
CysB	cbl[cblp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	cysB[cysBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
CysB	cysDNC[cysDp]	+	[BCE|W|Binding of cellular extracts]	[]	WEAK	
CysB	cysJIH[cysJp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
CysB	cysK[cysKp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
CysB	cysPUWAM[cysPp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	dgcZ[dgcZp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
CysB	hslJ[hslJp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	ssuEADCB[ssuEp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	tauABCD[tauAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	tcyJ[tcyJp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	tcyP[tcyPp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CysB	ybdN[ybdNp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
CysB	yciW[yciWp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
CysB	ygeH[ygeHp10]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
CysB	yoaC[yoaCp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
CytR	cdd[cddp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
CytR	cytR[cytRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
CytR	deoCABD[deoCp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
CytR	nupC[nupCp]	-	[BPP|S|Binding of purified proteins]	[TAS|W|Traceable author statement]	STRONG	
CytR	nupG[nupGp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
CytR	ppiA[ppiAp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
CytR	ppiA[ppiAp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
CytR	ppiA[ppiAp4]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
CytR	rpoH[rpoHp5]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CytR	rpoH[rpoHp4]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CytR	rpoH[rpoHp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
CytR	tsx[tsxp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator],[SM|S|Site mutation],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
CytR	udp[udpP]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
CytR	ycdZ[ycdZp4]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
Dan	ttdABT[ttdAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
Dan	ttdR[ttdRp]	+	[BPP|S|Binding of purified proteins]	[]	STRONG	
DcuR	aspA[aspAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
DcuR	aspA-dcuA[aspAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
DcuR	dctA[dctAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DcuR	dcuB-fumB[dcuBp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DcuR	dpiBA[dpiBp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
DcuR	frdABCD[frdAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DcuR	frdABCD[frdAp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DcuR	pck[pckp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
DeoR	deoCABD[deoCp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[]	STRONG	
DeoR	deoCABD[deoCp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[]	STRONG	
DeoR	nupG[nupGp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DeoR	tsx[tsxp1]	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
DgoR	dgoRKADT[dgoRp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
DhaR	dhaKLM[dhaKp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DhaR	dhaR[dhaRp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DicA	dicB-ydfDE-insD-intQ[dicBp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DicA	dicC-ydfXW[dicCp]	-	[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence]	[GEA|W|Gene expression analysis]	STRONG	
DinJ-YafQ	cspE[cspEp1]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
DinJ-YafQ	dinJ-yafQ[dinJp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
DnaA	aldA[aldAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	dnaAN-recF[dnaAp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	dnaAN-recF[dnaAp2]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[,[GEA|W|Gene expression analysis]	STRONG	
DnaA	guaBA[guaBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	nrdAB-yfaE[nrdAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
DnaA	polA[polAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	recN[recNp]	-	[ICA|W|Inferred by computational analysis]	[GEA|W|Gene expression analysis]	WEAK	
DnaA	rpoH[rpoHp4]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK	
DnaA	rpoH[rpoHp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK	
DnaA	uvrB[uvrBp3]	-	[BPP|S|Binding of purified proteins],[ICA|W|Inferred by computational analysis],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	uvrB[uvrBp2]	-	[BPP|S|Binding of purified proteins],[ICA|W|Inferred by computational analysis]	[GEA|W|Gene expression analysis]	STRONG	
DnaA	yjeV[yjeVp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	appY[appYp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	citCDEFXG[citCp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
DpiA	citCDEFXG[citCp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	dpiBA[dpiBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
DpiA	exuT[exuTp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	exuT[exuTp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	mdh[mdhp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DpiA	mdh[mdhp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DsdC	dsdA[dsdAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DsdC	dsdC[dsdCp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
DsdC	dsdXA[dsdXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EbgR	ebgAC[ebgAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EnvR	acrAB[acrAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EnvY	ompC[ompCp1]	+	[BPP|S|Binding of purified proteins]	[IMP|W|Inferred from mutant phenotype]	STRONG	
EnvY	ompF[ompFp]	+	[BPP|S|Binding of purified proteins]	[IMP|W|Inferred from mutant phenotype]	STRONG	
EnvY	ompF[ompFp2]	+	[BPP|S|Binding of purified proteins]	[IMP|W|Inferred from mutant phenotype]	STRONG	
EvgA	acrD[acrDp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
EvgA	emrKY[emrKp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	evgAS[evgAp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	evgAS[evgAp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	frc[frcp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	gadEF-mdtEF[gadEp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	safA-ydeO[safAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	ydeP[ydePp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	yegRZ[yegRp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
EvgA	yfdX[yfdXp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ExuR	exuR[exuRp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	STRONG	
ExuR	exuT[exuTp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[,[GEA|W|Gene expression analysis]	WEAK	
ExuR	lgoR[lgoRp4]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
ExuR	uxaB[uxaBp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ExuR	uxaCA[uxaCp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[,[GEA|W|Gene expression analysis]	WEAK	
ExuR	uxuAB[uxuAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
ExuR	uxuR[uxuRp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aceEF[aceEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	aceEF[aceEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	ackA[ackAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	acnA[acnAp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	acrEF[acrEp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	adhE[adhEp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aer[aerp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aldA[aldAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	ansB[ansBp2]	+	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[]	STRONG	
FNR	arcA[arcAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	arcA[arcAp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aspA[aspAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aspA-dcuA[aspAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	aspC[aspCp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	bcsBZ[bcsBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	cadC[cadCp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	caiF[caiFp]	+	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	caiTABCDE[caiTp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	citCDEFXG[citCp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	WEAK	
FNR	cydAB[cydAp3]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
FNR	cydAB[cydAp4]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
FNR	cydAB[cydAp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
FNR	cydAB[cydAp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
FNR	cydDC[cydDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	cyoABCDE[cyoAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	dcuB-fumB[dcuBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	dcuC[dcuCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	dcuSR[dcuSp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	dmsABC[dmsAp1]	+	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	dpiBA[dpiBp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
FNR	dppABCDF[dppAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	emrKY[emrKp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	fdhF[fdhFp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	fdnGHI[fdnGp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	feoABC[feoAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
FNR	fes-ybdZ-entF-fepE[fesp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	fixABCX[fixAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	fnr[fnrp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	fnrS[fnrSp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	focA-pflB[focAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	focA-pflB[focAp3]	+	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
FNR	frdABCD[frdAp]	+	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	frdABCD[frdAp2]	+	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	fumA[fumAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	fumAC[fumAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	fumB[fumBp]	+	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
FNR	fumC[fumCp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	gadAX[gadAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gadAX[gadAp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gadX[gadXp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	gadXW[gadXp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
FNR	garPLRK-rnpB[garPp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	gcvTHP[gcvTp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	gdhA[gdhAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	glnD[glnDp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
FNR	glnK-amtB[glnKp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
